id,columnname,descr_sdd2,descr_sdd1,sample_measurement,datatype,catalogue
1,analysisy,year when the analysis was completed.,year of analysis,s,"number(4,0)",0
2,progtype,"indicate the type of programme for which the samples have been collected (national, eu programme, total diet study, control and eradication programme).",type of sampling program,s,text(400),prgtyp
3,restype,"indicate the type of result, whether it could be quantified/determined or not.",type of result,m,text(400),valtyp
4,resunit,"unit of measurement for the values reported in ‘result lod’, ‘result loq’, ‘resllwr’, ‘resulwr’, ‘cc alpha’, ‘cc beta’, ‘result value’, ‘result value uncertainty standard deviation, ‘result value uncertainty’, ‘limit for the result evaluation’ and ‘limit for the result evaluation (high limit)’.",result unit,m,text(400),unit
5,sampcountry,country where the sample was taken for laboratory testing (iso 3166-1-alpha-2).,country of sampling,s,text(400),country
6,samppoint,"point, in the food chain, where the sample was taken. (see doc. estat/f5/es/155 “data dictionary of activities of the establishments”).",sampling point,s,text(400),sampnt
7,sampy,year of sampling. in case the sampling has been performed over a period of time the start date (as year) of sampling should be reported.,year of sampling,s,"number(4,0)",0
8,origcountry,country of origin of the sample taken (iso 3166-1-alpha-2 country code).,country of origin of the product,s,text(400),country
9,labaccred,the accreditation status of the laboratory and its reference procedure.,laboratory accreditation,s,text(400),labacc
10,proglegalref,"reference to the legislation for the programme defined by programme code. reference to the legislation on what to sample, how to evaluate the sample etc.",programme legal  reference,s,text(400),legref
11,sampm,month of sampling. in case the sampling has been performed over a period of time the start date (as month) of sampling should be reported.,month of sampling,s,"number(2,0)",0
12,sampd,day of sampling. in case the sampling has been performed over a period of time the start date (as day) of sampling should be reported.,day of sampling,s,"number(2,0)",0
13,paramtype,"define if the parameter reported is an individual residue/ analyte, a summed residue definition or part of a summed residue definition.",type of parameter,m,text(400),paramtyp
14,accredproc,the accreditation status of the analytical method used and its reference procedure.,accreditation procedure for the analytical method,m,text(400),mdacc
15,resloq,limit of quantification expressed in the unit specified by the element ‘result unit’.,result loq,m,"number(20,10)",0
16,labcountry,country where the laboratory is located (iso 3166-1-alpha-2).,laboratory country,s,text(400),country
17,sampmethod,reference to the method for sampling (e.g. eu legislation).,sampling method,s,text(400),sampmd
18,anmethrefid,identifier for the method used in the laboratory.,,m,text(50),0
19,anmethtype,type of analytical method used.,,m,text(400),anlytyp
20,evalcode,"evaluation of the result. if the result exceeds a limit specified above or contains the evaluation on sampling event, sample taken, or sample analysed as indicated by evallowlimit (n.01).",,m,text(400),reseval
21,paramcodebaseparam,encoding of the isolate parameter according to the param catalogue. it is used to report the speciation or serotyping of the isolate.,,m,text(400),param
22,progid,unique identification code of the programme or project for which the sampling unit was taken.,,s,text(100),0
23,resid,identification code of an analytical result (a row of the data table) in the transmitted file. the result identification code must be maintained at organisation level and it will be used in further updated/deletion operation from the senders.,,m,text(100),0
